cli_registry:apps/arkscope-web/package.json:-:-:cli_entrypoint:npm:build	apps/arkscope-web/package.json	npm:build	operator	-	-
cli_registry:apps/arkscope-web/package.json:-:-:cli_entrypoint:npm:check:i18n-literals	apps/arkscope-web/package.json	npm:check:i18n-literals	operator	-	-
cli_registry:apps/arkscope-web/package.json:-:-:cli_entrypoint:npm:dev	apps/arkscope-web/package.json	npm:dev	operator	-	-
cli_registry:apps/arkscope-web/package.json:-:-:cli_entrypoint:npm:preview	apps/arkscope-web/package.json	npm:preview	operator	-	-
cli_registry:apps/arkscope-web/package.json:-:-:cli_entrypoint:npm:test	apps/arkscope-web/package.json	npm:test	operator	-	-
cli_registry:apps/arkscope-web/package.json:-:-:cli_entrypoint:npm:test:watch	apps/arkscope-web/package.json	npm:test:watch	operator	-	-
cli_registry:apps/arkscope-web/package.json:-:-:cli_entrypoint:npm:typecheck	apps/arkscope-web/package.json	npm:typecheck	operator	-	-
cli_registry:data_sources/financial_metrics_calculator.py:1253:0:cli_entrypoint:python -m data_sources.financial_metrics_calculator	data_sources/financial_metrics_calculator.py	python -m data_sources.financial_metrics_calculator	operator	-	-
cli_registry:data_sources/sec_earnings_releases.py:297:0:cli_entrypoint:python -m data_sources.sec_earnings_releases	data_sources/sec_earnings_releases.py	python -m data_sources.sec_earnings_releases	operator	-	-
cli_registry:data_sources/sec_insider_trades.py:372:0:cli_entrypoint:python -m data_sources.sec_insider_trades	data_sources/sec_insider_trades.py	python -m data_sources.sec_insider_trades	operator	-	-
cli_registry:docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/controller_probe.py:181:0:cli_entrypoint:python -m docs.superpowers.evidence.2026-08-04-eir-006-deletion-manifest.controller_probe	docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/controller_probe.py	python -m docs.superpowers.evidence.2026-08-04-eir-006-deletion-manifest.controller_probe	operator	-	-
cli_registry:docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/destructive_controller.py:1089:0:cli_entrypoint:python -m docs.superpowers.evidence.2026-08-04-eir-006-deletion-manifest.destructive_controller	docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/destructive_controller.py	python -m docs.superpowers.evidence.2026-08-04-eir-006-deletion-manifest.destructive_controller	operator	-	-
