dependency:requirements.txt:postgres-drivers	requirements.txt	psycopg[binary]>=3.1	["01:requirements.txt","02:application dependency installation"]
environment-dependency:news-please	<environment>	news-please	["01:installed metadata:news-please","02:psycopg2 import provider witness"]
environment-dependency:psycopg2	<environment>	psycopg2	["01:installed metadata:psycopg2","02:psycopg2 import provider witness"]
module_import:src/api/dependencies.py:src.tools.data_access.DataAccessLayer	src/api/dependencies.py	src.tools.data_access.DataAccessLayer	["01:src/api/dependencies.py","02:qualname:<module>","03:module_import:src.tools.data_access.DataAccessLayer"]
module_import:src/service/data_scheduler.py:psycopg	src/service/data_scheduler.py	psycopg	["01:src/service/data_scheduler.py","03:module_import:psycopg"]
module_import:src/service/data_scheduler.py:psycopg2	src/service/data_scheduler.py	psycopg2	["01:src/service/data_scheduler.py","03:module_import:psycopg2"]
module_import:src/service/data_scheduler.py:psycopg2.extensions.parse_dsn	src/service/data_scheduler.py	psycopg2.extensions.parse_dsn	["01:src/service/data_scheduler.py","02:qualname:_pg_reachable","03:module_import:psycopg2.extensions.parse_dsn"]
runtime_config:src/api/dependencies.py:db_dsn	src/api/dependencies.py	db_dsn	["01:src/api/dependencies.py","02:qualname:get_dal","03:runtime_config:db_dsn"]
runtime_config:src/service/data_scheduler.py:database_url	src/service/data_scheduler.py	database_url	["01:src/service/data_scheduler.py","03:runtime_config:database_url"]
startup_hook:src/api/app.py:app_records_router	src/api/app.py	app_records_router	["01:src/api/app.py","02:qualname:create_app","03:startup_hook:app_records_router"]
store_or_backend:src/api/app.py:pg	src/api/app.py	pg	["01:src/api/app.py","03:store_or_backend:pg"]
store_or_backend:src/api/dependencies.py:get_dal	src/api/dependencies.py	get_dal	["01:src/api/dependencies.py","02:qualname:get_dal","03:store_or_backend:get_dal"]
store_or_backend:src/scheduler_state.py:pg	src/scheduler_state.py	pg	["01:src/scheduler_state.py","03:store_or_backend:pg"]
store_or_backend:src/service/data_scheduler.py:module	src/service/data_scheduler.py	<module>	["01:src/service/data_scheduler.py","02:qualname:<module>","02:qualname:_classify_news_write_mode","02:qualname:_news_pg_exit_audit_state","02:qualname:_pg_reachable","02:qualname:_run_normalized_news_writer","02:qualname:read_macro_schedule_automation","02:qualname:reconcile_interrupted_runtime_state","02:qualname:run_source","03:store_or_backend:<module>"]
