path	task	action	base_lines	base_sha256
data_sources/ibkr_client_id.py	T4	modify	79	60e53af57f7f45d6d064a15ca5ed3a1aef998957ccf6be9d65579fe6f3fcfd83
src/security_lifecycle_fact_kernel.py	T1	modify	1000	9f54934e7195ca104106dd31f671cbbd3dfa233f8ff5be25a2aa828d8c4f0ea9
src/security_lifecycle_decision_policy.py	T2	add	0	ABSENT
src/security_lifecycle_investigation.py	T3/T6	modify	1403	0e346cf311b07a37c2afe4dceb2ac0b5e7fc811e6e25b68a192246fd9f5741b7
src/security_lifecycle_ibkr_evidence.py	T4	modify	266	0ba9088d681cc9d3b1ea45ae8834010e11e7bde96b83db8cc910b8f3a54e2ffc
src/security_lifecycle_automation_worker.py	T4	add	0	ABSENT
src/service/security_lifecycle_automation_scheduler.py	T5	add	0	ABSENT
src/service/data_scheduler.py	T5	modify	1705	488540877b2cb3b98d4acfb4e901f1afb2787b1f5be3652e4746264d8d85d020
src/api/routes/security_lifecycle.py	T3	modify	490	01c3a50170ba36c2bd2fe453190449db662ccf83ccdc864507d2c2217e7ac4fd
src/tools/security_lifecycle_tools.py	T6	modify	398	368420825845f23f988e1bf33bc63542151b15d5af62c865ab91bff753730fe0
tests/test_ibkr_client_id.py	T4	modify	62	49626432e31984804bf08969644fea3550ce2b9e2b944e098b100bde752bcd95
tests/test_security_lifecycle_fact_kernel.py	T1	modify	399	dd361981af8b00f08182a06374a902effecf10440825df01504b75280b150c50
tests/test_security_lifecycle_decision_policy.py	T2	add	0	ABSENT
tests/test_security_lifecycle_investigation.py	T3	modify	832	d4f961d849e8cd41b43810a42984bbb5f26272d39e25cf77b8b69b741108c368
tests/test_security_lifecycle_routes.py	T3/T6	modify	766	ce10d571faee865606b7d4fe9dcd6c729d4b94c25849b46cd7c666763281ebad
tests/test_security_lifecycle_ibkr_evidence.py	T4	modify	230	b217fbb105ea309e2adef1616bfe5414ec0c36c7da719ce15e4afe89293fbfa7
tests/test_security_lifecycle_automation_worker.py	T4	add	0	ABSENT
tests/test_security_lifecycle_automation_scheduler.py	T5	add	0	ABSENT
tests/test_data_scheduler.py	T5	modify	2862	3b933905f29366a532eaad69dcfca7f304567325c0ed30a299c6e46dc4e476d0
tests/test_security_lifecycle_tools.py	T6	modify	428	286414ea6bfe9070c84832456d3d12947a3fac951e6c54e50a1ff311387a5183
docs/design/PROJECT_PRIORITY_MAP.md	T0/T7	modify	1414	9cb5b4eb314d2a224b7b6aef50c268cd2335b981af19e5c6cee55afda004fca6
